time_tag,bt,bx_gse,by_gse,bz_gse,theta_gse,phi_gse,bx_gsm,by_gsm,bz_gsm,theta_gsm,phi_gsm
269,3.04,2.67,0.9400000000000001,-1.11,-21.45,19.35,2.67,0.38,-1.4,-27.48,8.18
270,2.98,2.67,0.92,-0.9400000000000001,-18.48,19.0,2.67,0.44,-1.24,-24.67,9.32
271,2.98,2.74,0.81,-0.86,-16.69,16.47,2.74,0.38,-1.12,-22.01,7.8
272,3.02,2.76,0.84,-0.89,-17.07,16.89,2.76,0.39,-1.16,-22.52,8.02
273,3.1,2.76,0.89,-1.09,-20.53,17.83,2.76,0.35000000000000003,-1.3599999999999999,-26.02,7.21
274,3.1,2.69,0.85,-1.28,-24.42,17.47,2.69,0.23,-1.52,-29.34,4.9
275,3.1,2.64,0.86,-1.37,-26.36,18.0,2.64,0.2,-1.6099999999999999,-31.28,4.35
276,3.08,2.58,0.92,-1.4,-27.14,19.62,2.58,0.24,-1.6600000000000001,-32.65,5.42
277,3.03,2.54,0.9,-1.3900000000000001,-27.24,19.61,2.54,0.24,-1.6400000000000001,-32.74,5.36
278,2.9699999999999998,2.5300000000000002,0.89,-1.29,-25.81,19.32,2.5300000000000002,0.26,-1.55,-31.35,5.87
279,3.01,2.61,0.9400000000000001,-1.15,-22.54,19.73,2.61,0.37,-1.44,-28.61,7.99
280,2.9699999999999998,2.61,0.9400000000000001,-1.05,-20.81,19.83,2.61,0.41000000000000003,-1.35,-27.1,8.96
281,2.96,2.58,0.89,-1.15,-22.74,19.02,2.58,0.33,-1.4100000000000001,-28.49,7.21
282,3.02,2.62,0.9500000000000001,-1.15,-22.52,19.92,2.62,0.38,-1.45,-28.67,8.17
283,2.99,2.54,1.07,-1.1400000000000001,-22.4,22.9,2.54,0.5,-1.48,-29.8,11.06
284,2.98,2.51,1.1,-1.18,-23.28,23.69,2.51,0.5,-1.53,-30.91,11.36
285,2.99,2.49,1.1400000000000001,-1.19,-23.42,24.63,2.49,0.54,-1.56,-31.42,12.18
286,2.99,2.48,1.1,-1.25,-24.66,23.87,2.48,0.47000000000000003,-1.5899999999999999,-32.22,10.8
287,2.99,2.42,1.05,-1.4,-27.93,23.43,2.42,0.36,-1.71,-34.93,8.56
288,2.9699999999999998,2.43,1.07,-1.32,-26.4,23.68,2.43,0.41000000000000003,-1.6400000000000001,-33.69,9.66
289,2.98,2.48,1.08,-1.25,-24.76,23.63,2.48,0.46,-1.5899999999999999,-32.21,10.51
